instance,det_obj,det_t,rand_obj,rand_std,rand_t,grasp_obj,grasp_t
instance31_nreq50_nveh2_gamma50,2737.97,0.19734525,2899.261177197655,47.71599671464654,0.056560400200000006,2375.0347615290834,0.242011666
instance32_nreq50_nveh2_gamma45,2244.655,0.014212042,2415.4984176212442,67.90002441337502,0.0212387084,2036.6832632836001,0.155422
instance33_nreq50_nveh2_gamma45,2341.585,0.013663958,2518.701993882015,28.343310324661342,0.020193808,2031.1504462294297,0.174854667
instance34_nreq50_nveh2_gamma47,2717.35,0.0147325,2878.1039888144714,36.16474157602402,0.0208705252,2227.2588531896113,0.219520917
instance35_nreq50_nveh2_gamma45,2321.15,0.014083875,2495.2401580714845,30.774539667401964,0.0203959666,1773.7494317923845,0.157591834
instance36_nreq50_nveh2_gamma46,2371.135,0.013361792,2606.3281333203586,44.00729835478915,0.020597958399999998,2009.3243964882963,0.212364666
instance37_nreq50_nveh2_gamma45,2343.97,0.013242125,2641.5936200110164,35.43130860813592,0.025970191599999998,1976.273559684881,0.197567042
instance38_nreq50_nveh2_gamma43,2150.26,0.012606167,2287.9545926643286,34.12013839053245,0.0195389168,1938.984590647142,0.120178167
instance39_nreq50_nveh2_gamma43,2305.165,0.012381042,2419.250852744511,53.16398923983577,0.0197565834,1835.8655620699783,0.176769042
instance40_nreq50_nveh2_gamma46,2334.97,0.012972375,2440.7715010754546,35.808163104973005,0.02114555,2017.44695141387,0.15810425
instance41_nreq50_nveh2_gamma45,2203.81,0.015565959,2410.961173759458,21.18616968871254,0.0232945,1882.5692222597038,0.154814833
instance42_nreq50_nveh2_gamma44,2168.15,0.012771333,2476.4678305810903,37.07460782218098,0.0200512998,1985.8279417549686,0.147798167
instance43_nreq50_nveh2_gamma47,2416.53,0.01408075,2538.075182148868,16.11700712707702,0.021002891800000003,1916.781726827804,0.205858959
instance44_nreq50_nveh2_gamma41,2161.32,0.011919833,2340.8447147876363,35.8995203431026,0.019386758600000005,1857.4720832929052,0.130164417
instance45_nreq50_nveh2_gamma42,2034.19,0.012326375,2223.0007660168794,39.93237373849102,0.019419416600000003,1807.152370001012,0.137327292
instance46_nreq50_nveh2_gamma47,2667.905,0.014831042,2831.763216353982,22.445825642444266,0.0209210498,2017.0641696099124,0.253630875
instance47_nreq50_nveh2_gamma42,2027.845,0.014163625,2245.957005892401,47.75953817923649,0.019344149799999998,1723.062284759174,0.157173791
instance48_nreq50_nveh2_gamma42,1982.72,0.012207584,2308.8022358697604,40.568284795656325,0.0193915416,1859.1145697542104,0.134511375
instance49_nreq50_nveh2_gamma44,2272.53,0.01276925,2493.4862142317206,26.590562416088655,0.020006966600000002,1841.6797241242152,0.152669166
instance50_nreq50_nveh2_gamma43,1894.44,0.012687458,2171.1890677490887,81.83417279731422,0.019786816399999997,1794.7151856805363,0.123839417
instance51_nreq50_nveh2_gamma45,2151.655,0.014767375,2337.117677339188,17.254400717283293,0.03705955,1939.001136353602,0.159292208
instance52_nreq50_nveh2_gamma44,2235.97,0.013167917,2347.2356758865317,25.593804439428986,0.026015491800000002,1936.0248911425658,0.154781542
instance53_nreq50_nveh2_gamma44,2275.335,0.0144315,2561.195123318563,59.834578923234965,0.0198760332,1875.2844161782537,0.171903542
instance54_nreq50_nveh2_gamma49,2501.72,0.015537917,2685.2156314016274,39.38636055468267,0.0220420084,2214.752836313776,0.190686667
instance55_nreq50_nveh2_gamma40,2073.615,0.011707625,2308.550761381336,33.00057326177607,0.0188198916,1852.662923058957,0.128318208
instance56_nreq50_nveh2_gamma43,2244.165,0.012622916,2429.4031701373506,41.51697561110483,0.019504366399999997,2037.165,0.151780917
instance57_nreq50_nveh2_gamma46,2655.24,0.013459958,2802.7737073265625,35.59969705998939,0.0206083498,2153.450241280231,0.209420541
instance58_nreq50_nveh2_gamma45,2195.97,0.01271475,2402.8195254661646,29.576955524116524,0.020410933200000002,2067.0004917742717,0.15998225
instance59_nreq50_nveh2_gamma45,2065.095,0.013133083,2385.4499331162256,31.488507568433906,0.0203170664,1944.4384458222837,0.152934917
instance60_nreq50_nveh2_gamma45,2273.06,0.014220125,2469.3650625741307,50.36302443297822,0.0223208416,1977.0150499031388,0.16218925
