instance,alpha,niters,mean_obj,std_obj,mean_t
instance10_nreq50_nveh2_gamma48,0.1,20,2139.3365570801716,53.25972794923226,0.1057655752
instance10_nreq50_nveh2_gamma48,0.1,50,2137.345357789288,52.41049422804565,0.2157479
instance10_nreq50_nveh2_gamma48,0.1,100,2091.0096858937222,30.502903120204675,0.42423314140000007
instance10_nreq50_nveh2_gamma48,0.3,20,2230.5508241948755,34.24228264185348,0.1027548832
instance10_nreq50_nveh2_gamma48,0.3,50,2207.0080728822327,50.04197625979795,0.2182471998
instance10_nreq50_nveh2_gamma48,0.3,100,2190.118755575586,34.96788780913522,0.423290567
instance10_nreq50_nveh2_gamma48,0.5,20,2405.023737091842,98.25533818920825,0.0978275416
instance10_nreq50_nveh2_gamma48,0.5,50,2321.1329582918343,62.15997545257362,0.224930917
instance10_nreq50_nveh2_gamma48,0.5,100,2280.896850241181,32.253139832938245,0.45686944999999995
instance10_nreq50_nveh2_gamma48,0.7,20,2536.187046933344,66.02171422280888,0.10589546639999999
instance10_nreq50_nveh2_gamma48,0.7,50,2449.950193061441,51.379856133902436,0.2323599834
instance10_nreq50_nveh2_gamma48,0.7,100,2437.161266148009,28.23832411851257,0.4456521332
instance11_nreq50_nveh2_gamma45,0.1,20,1792.5619728162055,46.24095020528413,0.0959795166
instance11_nreq50_nveh2_gamma45,0.1,50,1749.1176473418268,23.135311805298503,0.1994899832
instance11_nreq50_nveh2_gamma45,0.1,100,1724.7543513308744,11.429485710415339,0.388861375
instance11_nreq50_nveh2_gamma45,0.3,20,1929.1321263286923,40.95555929451399,0.0830407002
instance11_nreq50_nveh2_gamma45,0.3,50,1903.747931447584,48.05459988558137,0.17428654999999998
instance11_nreq50_nveh2_gamma45,0.3,100,1853.2690958150645,29.919039783990304,0.3178184666
instance11_nreq50_nveh2_gamma45,0.5,20,2100.9327354032293,24.317630552074807,0.07949852519999998
instance11_nreq50_nveh2_gamma45,0.5,50,2037.4935697079084,27.0181977168418,0.17041727479999996
instance11_nreq50_nveh2_gamma45,0.5,100,2009.648638392699,34.966341808504694,0.33356530019999997
instance11_nreq50_nveh2_gamma45,0.7,20,2171.674896453066,59.62298266479953,0.07432401659999999
instance11_nreq50_nveh2_gamma45,0.7,50,2156.6738589303686,36.466216800193706,0.1683541084
instance11_nreq50_nveh2_gamma45,0.7,100,2117.4409035597655,55.28582777950331,0.32634185860000003
instance12_nreq50_nveh2_gamma46,0.1,20,1893.9225935556242,83.88672554462612,0.0897554082
instance12_nreq50_nveh2_gamma46,0.1,50,1875.7276804615444,61.94571560575168,0.213868133
instance12_nreq50_nveh2_gamma46,0.1,100,1847.4186692065414,61.29515218129011,0.3968016
instance12_nreq50_nveh2_gamma46,0.3,20,2083.726329015401,40.031529266756905,0.0865986664
instance12_nreq50_nveh2_gamma46,0.3,50,2041.1289226471413,60.94128587087009,0.18868081659999997
instance12_nreq50_nveh2_gamma46,0.3,100,2024.0140520328646,51.967499270896795,0.35261570000000003
instance12_nreq50_nveh2_gamma46,0.5,20,2247.9786450851375,60.71648627832955,0.0855130748
